fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-22,landsat-8,12.37,LC08_L2SP_001074_20260322_02_T1,ok,ok,ok,2026-04-04 22:25
2026-03-14,landsat-9,3.18,LC09_L2SP_001074_20260314_02_T1,ok,ok,ok,2026-04-04 22:25
2026-03-06,landsat-8,2.46,LC08_L2SP_001074_20260306_02_T1,ok,ok,ok,2026-04-04 22:26
2026-02-26,landsat-9,1.16,LC09_L2SP_001074_20260226_02_T1,ok,ok,ok,2026-04-04 22:26
2026-02-18,landsat-8,18.6,LC08_L2SP_001074_20260218_02_T1,ok,ok,ok,2026-04-04 22:26
2026-02-10,landsat-9,6.12,LC09_L2SP_001074_20260210_02_T1,ok,ok,ok,2026-04-04 22:26
