fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-23,landsat-9,2.91,LC09_L2SP_233075_20260323_02_T1,ok,ok,ok,2026-04-04 22:26
2026-03-07,landsat-9,1.57,LC09_L2SP_233075_20260307_02_T1,ok,ok,ok,2026-04-04 22:26
2026-02-27,landsat-8,0.73,LC08_L2SP_233075_20260227_02_T1,ok,ok,ok,2026-04-04 22:26
2026-02-19,landsat-9,0.83,LC09_L2SP_233075_20260219_02_T1,ok,ok,ok,2026-04-04 22:26
2026-02-11,landsat-8,0.28,LC08_L2SP_233075_20260211_02_T1,ok,ok,ok,2026-04-04 22:26
2026-02-03,landsat-9,1.32,LC09_L2SP_233075_20260203_02_T1,ok,ok,ok,2026-04-04 22:27
